type,title,time
Cancer,Cancer_bone,2017-11-15T11:28
Cancer,Cancer_liver,2018-02-05T13:10
Cancer,Cancer_brain,2019-07-02T10:15
Cancer,Cancer_lung,2017-12-21T11:02
Cancer,Cancer_skin,2019-07-04T19:01
Cancer,Cancer_oral,2019-09-23T05:55
Cancer,Cancer_pancreas,2019-06-09T12:39
Cancer,Cancer_brain,2018-01-15T15:07
Cancer,Cancer_lung,2018-05-10T09:48
Cancer,Cancer_brain,2017-08-24T08:19
Cancer,Cancer_skin,2017-06-16T00:45
Cancer,Cancer_skin,2019-03-28T00:18
Cancer,Cancer_skin,2019-02-01T10:16
Cancer,Cancer_intestinal,2018-05-02T10:03
Cancer,Cancer_skin,2017-10-17T23:39
Cancer,Cancer_oral,2019-02-12T19:34
Cancer,Cancer_breast,2019-06-09T09:32
Cancer,Cancer_skin,2019-01-25T16:59
Cancer,Cancer_bone,2018-11-23T16:39
Cancer,Cancer_lung,2019-09-08T16:09
Cancer,Cancer_throat,2018-03-29T23:26
Cancer,Cancer_skin,2018-06-08T03:33
Cancer,Cancer_bone,2019-03-28T02:45
Cancer,Cancer_oral,2018-08-26T17:07
Cancer,Cancer_throat,2018-02-08T09:48
Cancer,Cancer_liver,2017-08-19T21:34
Cancer,Cancer_oral,2018-07-29T11:38
Cancer,Cancer_intestinal,2017-02-22T23:02
Cancer,Cancer_skin,2019-08-07T05:38
Cancer,Cancer_breast,2019-07-02T23:21
Cancer,Cancer_bone,2017-08-16T17:59
Cancer,Cancer_liver,2018-08-28T16:25
Cancer,Cancer_oral,2017-01-15T17:28
Cancer,Cancer_stomach,2018-05-27T12:19
Cancer,Cancer_intestinal,2018-05-17T21:48
Cancer,Cancer_brain,2019-08-10T14:31
Cancer,Cancer_liver,2019-06-04T07:54
Cancer,Cancer_lung,2017-07-20T23:59
Cancer,Cancer_skin,2019-08-11T16:42
Cancer,Cancer_oral,2019-08-29T11:15
Cancer,Cancer_lung,2019-07-23T04:49
Cancer,Cancer_pancreas,2017-12-27T21:19
Cancer,Cancer_pancreas,2019-02-09T16:54
Cancer,Cancer_intestinal,2018-03-25T20:48
Cancer,Cancer_brain,2018-12-22T11:34
Cancer,Cancer_stomach,2018-06-27T11:04
Cancer,Cancer_breast,2019-02-03T10:13
Cancer,Cancer_throat,2019-02-07T06:29
Cancer,Cancer_skin,2017-06-26T02:51
Cancer,Cancer_throat,2019-08-22T22:57
Cancer,Cancer_bone,2018-07-15T19:55
Cancer,Cancer_skin,2018-09-12T17:55
Cancer,Cancer_bone,2018-08-19T20:32
Cancer,Cancer_intestinal,2018-08-14T05:20
Cancer,Cancer_skin,2018-05-24T13:57
Cancer,Cancer_throat,2017-02-24T18:47
Cancer,Cancer_lung,2017-09-07T05:18
Cancer,Cancer_lung,2017-12-02T18:02
Cancer,Cancer_stomach,2018-09-10T19:05
Cancer,Cancer_brain,2017-10-18T08:00
Cancer,Cancer_breast,2019-05-26T23:40
Cancer,Cancer_intestinal,2019-07-17T13:14
Cancer,Cancer_oral,2018-07-14T13:20
Cancer,Cancer_throat,2017-04-30T15:53
Cancer,Cancer_stomach,2017-06-19T06:54
Cancer,Cancer_pancreas,2017-04-21T00:51
Cancer,Cancer_stomach,2017-11-24T10:40
Cancer,Cancer_throat,2017-01-19T22:17
Cancer,Cancer_lung,2018-09-14T07:21
Cancer,Cancer_breast,2019-09-30T22:39
Cancer,Cancer_liver,2017-02-05T04:51
Cancer,Cancer_skin,2019-07-22T23:02
